 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction, balances, Lagrangian Module, particle displacement
      33,  8.5651229e+00,  0.0000000e+00,  0.0000000e+00,  1.6478663e-01,  1.7540036e+00,  3.3179127e+00,  2.2586604e+00,  5.9519335e-01,  7.3317368e-02
      34,  8.5630369e+00,  0.0000000e+00,  0.0000000e+00,  1.6525117e-01,  1.7518572e+00,  3.3323712e+00,  2.2574786e+00,  5.9886358e-01,  7.5999660e-02
      35,  8.5594197e+00,  0.0000000e+00,  0.0000000e+00,  1.6511169e-01,  1.7520366e+00,  3.3277211e+00,  2.2586417e+00,  5.9563672e-01,  7.2861414e-02
      36,  9.1011916e+00,  0.0000000e+00,  0.0000000e+00,  1.6505040e-01,  1.8395009e+00,  3.5478735e+00,  2.6381521e+00,  5.9604234e-01,  7.6530114e-02
      37,  9.1019054e+00,  0.0000000e+00,  0.0000000e+00,  1.6540772e-01,  1.8403707e+00,  3.5201033e+00,  2.6373563e+00,  5.9689419e-01,  7.4621077e-02
      38,  9.1093339e+00,  0.0000000e+00,  0.0000000e+00,  1.6502853e-01,  1.8391403e+00,  3.5455021e+00,  2.6346079e+00,  5.9799058e-01,  8.4871216e-02
      39,  9.1045577e+00,  0.0000000e+00,  0.0000000e+00,  1.6506469e-01,  1.8413477e+00,  3.5449325e+00,  2.6263331e+00,  5.9887195e-01,  9.5161451e-02
      40,  3.9406742e+01,  0.0000000e+00,  0.0000000e+00,  3.0460586e+01,  1.8383693e+00,  3.5348978e+00,  2.6252413e+00,  6.0007432e-01,  9.4451842e-02
      41,  9.1157757e+00,  0.0000000e+00,  0.0000000e+00,  1.6490340e-01,  1.8433457e+00,  3.5411318e+00,  2.6294689e+00,  6.0078166e-01,  9.0926411e-02
      42,  9.1154649e+00,  0.0000000e+00,  0.0000000e+00,  1.6525216e-01,  1.8399101e+00,  3.5571173e+00,  2.6300407e+00,  6.0068390e-01,  8.9853412e-02
      43,  9.1174875e+00,  0.0000000e+00,  0.0000000e+00,  1.6540400e-01,  1.8419676e+00,  3.5590649e+00,  2.6337462e+00,  6.0251545e-01,  9.0203277e-02
      44,  9.1088576e+00,  0.0000000e+00,  0.0000000e+00,  1.6558882e-01,  1.8382715e+00,  3.5611686e+00,  2.6314566e+00,  6.0395126e-01,  9.6331080e-02
      45,  9.1149948e+00,  0.0000000e+00,  0.0000000e+00,  1.6517165e-01,  1.8432285e+00,  3.5491744e+00,  2.6298315e+00,  6.0387030e-01,  1.0053016e-01
      46,  9.1084207e+00,  0.0000000e+00,  0.0000000e+00,  1.6516733e-01,  1.8412972e+00,  3.5379533e+00,  2.6370063e+00,  6.0468191e-01,  9.4011854e-02
      47,  9.1042511e+00,  0.0000000e+00,  0.0000000e+00,  1.6509739e-01,  1.8384676e+00,  3.5157426e+00,  2.6258842e+00,  6.0482748e-01,  9.4462234e-02
      48,  9.1166745e+00,  0.0000000e+00,  0.0000000e+00,  1.6515213e-01,  1.8414801e+00,  3.5441237e+00,  2.6262387e+00,  6.0473425e-01,  9.0988948e-02
      49,  9.7390510e+00,  0.0000000e+00,  0.0000000e+00,  1.6502322e-01,  2.0169772e+00,  3.7852024e+00,  3.0148447e+00,  6.0516777e-01,  9.6794774e-02
      50,  6.0946289e+02,  0.0000000e+00,  5.9964598e+02,  2.4210710e-01,  2.0218633e+00,  3.7609505e+00,  2.9975326e+00,  6.0550584e-01,  9.9457117e-02
      51,  9.7937431e+00,  0.0000000e+00,  0.0000000e+00,  1.6498607e-01,  2.0183935e+00,  3.7662707e+00,  3.0230028e+00,  6.0708729e-01,  7.9538895e-02
      52,  9.7495776e+00,  0.0000000e+00,  0.0000000e+00,  1.6520864e-01,  2.0157922e+00,  3.7701711e+00,  2.9982245e+00,  6.0472243e-01,  8.1688952e-02
      53,  9.7479732e+00,  0.0000000e+00,  0.0000000e+00,  1.6518116e-01,  2.0163527e+00,  3.7644608e+00,  2.9912481e+00,  6.0555353e-01,  8.6348710e-02
      54,  9.7448929e+00,  0.0000000e+00,  0.0000000e+00,  1.6498138e-01,  2.0164433e+00,  3.8023815e+00,  3.0229567e+00,  6.0377401e-01,  8.2895796e-02
      55,  9.7438598e+00,  0.0000000e+00,  0.0000000e+00,  1.6520928e-01,  2.0137183e+00,  3.7877709e+00,  3.0081403e+00,  6.0103579e-01,  7.8280575e-02
      56,  9.7386187e+00,  0.0000000e+00,  0.0000000e+00,  1.6493741e-01,  2.0142314e+00,  3.7975316e+00,  3.0039732e+00,  5.9964625e-01,  7.2901265e-02
      57,  9.8941159e+00,  0.0000000e+00,  0.0000000e+00,  1.6495179e-01,  2.1789556e+00,  3.7698003e+00,  3.0033253e+00,  5.9666812e-01,  7.2144633e-02
      58,  9.7284931e+00,  0.0000000e+00,  0.0000000e+00,  1.6515531e-01,  2.0211219e+00,  3.7675481e+00,  3.0118404e+00,  5.9495309e-01,  6.8637140e-02
      59,  9.8951472e+00,  0.0000000e+00,  0.0000000e+00,  1.6524519e-01,  2.1813053e+00,  3.7570572e+00,  2.9956150e+00,  5.9213186e-01,  7.1521087e-02
      60,  4.0085407e+01,  0.0000000e+00,  0.0000000e+00,  3.0367687e+01,  2.1787021e+00,  3.7569570e+00,  2.9971657e+00,  5.8845029e-01,  7.3326762e-02
      61,  9.8796833e+00,  0.0000000e+00,  0.0000000e+00,  1.6507635e-01,  2.1790893e+00,  3.7754657e+00,  2.9917812e+00,  5.8737802e-01,  7.4253508e-02
      62,  9.8860504e+00,  0.0000000e+00,  0.0000000e+00,  1.6507965e-01,  2.1816332e+00,  3.7472086e+00,  3.0085147e+00,  5.8461799e-01,  6.9257204e-02
      63,  9.8831305e+00,  0.0000000e+00,  0.0000000e+00,  1.6521767e-01,  2.1796376e+00,  3.7652300e+00,  3.0022263e+00,  5.8522903e-01,  7.1502089e-02
      64,  9.8809834e+00,  0.0000000e+00,  0.0000000e+00,  1.6531935e-01,  2.1761504e+00,  3.7891439e+00,  2.9964535e+00,  5.8423058e-01,  6.2190491e-02
      65,  9.9755647e+00,  0.0000000e+00,  0.0000000e+00,  1.6538221e-01,  2.2679917e+00,  3.8142172e+00,  3.0016446e+00,  5.8290981e-01,  6.1023003e-02
      66,  9.9647353e+00,  0.0000000e+00,  0.0000000e+00,  1.6550101e-01,  2.2648564e+00,  3.8185153e+00,  3.0116852e+00,  5.8064380e-01,  5.7641400e-02
